organization_id,address,country
52c8642c34649eafe2d044eee3d884e1,"60 MARKET SAUQRE, BELIZE CITY, BELIZE",US
831a31a1466f0ace3eb20b52d4575f92,"Plot O 356 &357, Sidco Indl Estate Ambattur Chennai 98 Ambattur Chennai 98, Tamil Nadu, India",US
f580bc1756d06768c94634b0332e1871,"204, Monarch Chambers, Marol Maroshi Road, Mumbai, Maharashtra, 400059, India",IN
149081be00548b006dc38a88264eae32,"YUNG-SHI BLVD, SHI-WAN TOWN, PO-LO COUNTY HUI-ZHOU CITY, GUANGDONG, 516127 CHINA",CN
f4864ac3d5d716cc586d60afe8a403ef,"FLOWCRETE INDIA PRIVATE LIMITEDNEW NO.36 OLD NO.46 48TH STREET 9TH AVENUE ASHOK NAGAR CHENNAI TAMILNADU. 48TH STREET,9TH AVENUE, CHENNAI, TAMILNADU. PIN-600083",IN
a26b29b47ac4c97f4285096343d85b79,"RUA DO RIBEIRINHO, 202 APARTADO 13   S.PAIO OLEIROS  4536-907 PT MR. ADRIANO TE 351227475600",PT
d8739fc35ecdce3ced2b5ce7cc34997f,"YINZHOU, NINGBO, JIANGSHAN TOWN, ZHENSHI RD, NO. 426",CN
d181f1843d2f0bd2284d34ec93ab3f2f,"E-45/14, Okhla Industrial Area Phase-Ii, New Delhi, National Capital Territory of Delhi, 110020, India",IN
c61f1f95b68a9c7caf0e642be8e36e07,CR 73   48   46 BRR NORMANDIA II SECTOR,US
21e3ad6320ce473d88e4fcab02399a32,"3102 MILLER PARK, SOUTH SUITE 400 GARLAND TX 75042 UNITED STATES",US
94ae60097ba7509ca784c5de117eed38,"Birlagram, Nagda, Ujjain, Madhya Pradesh, 456331, India",IN
0d47cd9e69a49f9664f8b8833e61f0d3,205 900 FM  STEPHENVILLE STEPHENVILLE 76401,US
05c12eb589c3311bee1d4d9abb466b33,"8 Cresset Dr Midrand Industrial Park, Halfway House, Midrand, Gauteng, 1683, South Africa",ZA
140c63ccedc8eac19c62398e6c1af6d0,AVENIDA LAS MISIONES 21 PARQUE INDUSTRIAL BERNARDO QUINTANA AVENIDA DEL MARQUES Y CARRETERA LOS CUES EL MARQUES QUERETARO 76240,MX
d0726af8d7446f525fa4bc9f3d4edc49,"30f, hna wanbang center, building 1, no. 234, yan'an third road, Shinan district, Shandong, Qingdao, Shandong, East China, 266071, China",CN
140c63ccedc8eac19c62398e6c1af6d0,"Av. De las Misiones No. 21, Queretaro, Mexico",MX
0beee32d855ce4dbf20b38d717a02833,"NO.1 EAST ZHONGHSHAN ROAD, RUGAO CITY JIANGSU PROVINCE, CHINA CHINA",CN
41887e7fe36f1b8564ae67d2f02fc293,"YUTIAN,HEBEI,064100,CHINA",CN
66c4dcddcc6f17f7be03055fdd71d9b4,CALLE   NORTE 195 CIUDAD GRANJA CALLE CIPRESES Y CALLE LAURELES ZAPOPAN JALISCO 45010,MX
160093fb437f055c22e10f16e2766eba,1 DONGCHEN ROAD PUJIANG MINHANG SHANGHAI CHINA,CN
17d5e4224a521fbd566924b385781de9,SHIGANG INDUSTRIAL PARK NANTONG CN,US
80e44a0be590c7c9ae03e5d83ad0a6e5,"S. SUKHATME ) 1105/3 MANAS NARGIS  DUTTA RD. MODEL COLONY, PUNE/MAH PIN-411016",IN
4896a11841a982193344a68522eec3be,"SONAPUR LANE, OFF: L.B.S. MARG,BHANDUP(W), BOMBAY         ,MAHARASHTRA 400078",IN
ba8493a2d97bdc9c172db721ea1b97ab,"P.R.P. Towers, Kmc - Xxxii/81e Park Junction, Alappuzha, Kerala, 690502, India",IN
284a5fd16a48d5aa6708cdd85f0edbbb,"S/N 400 METROS AL NORTE DE LA POZUELA, CARRETERA A HEREDIA  10107 LA URUCA LA URUCA",MX
71599110ab661dc4b44cefdbe7d05a19,"DOOR NO.215M. O. WARD ALLEPPEY,  KERALA",DE
0542b8ce03e0b3f13e99e15f8800a526,"WEST OF CHONG QING ROAD,TONG FU YUZONE FUYONG TOWN,BAO AN DIST.SHENZHENCHINA",CN
82d4100e340b65eb618c80792ebfdfd5,HENGDIAN ELECTRONIC INDUSTRY ZONE ZHEJIANG DONGYANG                         CN,CN
233cbea86cfae088bcd6680aadd4fcc4,ADD: NO.3 OF GONGYE 3RD ROAD. BIJIA INDUSTRIAL ZONE SHUNDE DISTRICT. FO GUANGDONG . CHINA       TE 0757-26395502,CN
2880f3a61c97b9beb78c64834b85a054,"10f-10, Zhongshan Rd. No 351, Zhonghe Dist., New Taipei City, 235, Taiwan",TW
118ad155b6e0883c2592d0a4f4e412f9,"XING DIAN ROAD, BEI CHEN DIST.,TIAN    SEOUL 11  KR",US
668b415f8c7dab5b60506610a9ca021d,"PO Box 3034, Dubai, United Arab Emirates",AE
72536625ff9caf8530b2fce38cb955b0,"230, NEW SONAL LINK INDUSTRIAL ESTATE MUMBAI IN",IN
ed46d890f9c84ab5a1c90e01a760cfdc,"Industria Electrica Mexicana No. 3, Tlalnepantla de Baz, 54010, Mexico",MX
54b1e8a8922713623c4dc0f3bdbd29b5,"Via Jose Lopez Portillo No. 69, San Francisco Chilpan, Tultitlan, Mexico, 54944, Mexico",MX
91646426ad31b2419eed7f86084cfe72,"3RD FLOOR, 9, SEONGNAM-RO 49BEON-G IL DONG-GU, PUSAN, SOUTH KOREA +82 70-4322-5958 TELEX:+82 70-7614-3423",MY
32345b725e52031480a3ac7e41149a67,"11-4FL., NO.171, SEC. 4, NAN KING E RD., TAIPEI, TAIWAN, R.O.C.        TE 8862-27173969",US
5b230e0356c10f65b5d4c306fdafb7d2,"C/O CATHAY INDUSTRIES ASIA PACIFIC  SUITE 901A, 9/F CHINACHEM GOLDEN PL AZA, 77 MODY RD HONG KONG   HK",CA
89f9539a2791f97d100acafb76daf073,India,IN
5ce6d9cbdd7317a08ed9c3e1fc223d44,Russian Federation,CN
fd2036609b85edd19d634da435badfa9,"Ul. kulmanova d. 23, Atyrau, Atyrau, 060011, Kazakhstan",KZ
bebcae719eda8ef15324b46005d2ad7b,270 SEEBOLD SPUR CT  FENTONMO FENTONMO 6302646793,US
3263c727acb7256315dc0edc34aab918,"4050 CLOUGH WOODS OR BATAVIA, OH CLERMONT, OH OHIO, OH 45103 - BATAVIA, OH",US
dd38fa14baa76749fa3406115d5a4f43,14425 3RD AVE N  PLYMOUNTHMN PLYMOUNTHMN 55447,US
8cb8fdfdf76f13813699a403a2f70974,"204, SIDDHARTH COMPLEXR C DUTT ROAD, ALKAPURI TALUKA PADRA VADODARA 390007",IN
1da857dab13528a52f57c50b4854a43b,Russian Federation,CN
2112da2e1b3ea46e708391b980668039,MACROMOLECULAR MATERIALS CO LTD R OOM 304B HUANAN BUILDING NO 1988 D ONGFANG ROAD PUDONG SHANGHAI,US
2c2f2c3e4f3f499e2b270991c7896c3d,"734 Dixon Dr, Ellaville, Schley County, Georgia, 31806-3414, United States of America",US
