"V1","V2","n"
2,5,31
2,7,13
2,9,31
2,12,11
2,15,18
2,18,18
2,19,9
2,27,11
2,28,13
2,29,15
2,32,13
2,35,16
2,37,23
2,40,15
2,41,17
2,51,10
2,53,10
2,55,20
2,56,21
2,62,19
2,64,9
2,67,23
2,69,11
2,70,9
2,71,11
2,75,17
2,76,10
2,82,15
2,88,18
2,90,18
2,91,24
2,94,18
2,99,13
2,101,36
2,102,14
2,104,13
3,12,9
3,30,23
3,36,9
3,49,12
4,15,9
4,24,10
4,36,36
4,42,11
4,43,12
4,45,11
4,56,12
4,67,13
4,94,11
4,98,9
4,104,15
4,105,9
5,7,28
5,9,29
5,13,9
5,14,11
5,15,19
5,18,11
5,19,13
5,21,14
5,22,13
5,28,16
5,29,33
5,32,32
5,35,24
5,37,55
5,38,10
5,39,12
5,40,24
5,41,23
5,45,12
5,46,18
5,55,14
5,56,36
5,59,11
5,61,11
5,62,58
5,66,14
5,67,33
5,68,9
5,70,25
5,71,12
5,72,20
5,75,9
5,77,19
5,82,19
5,88,11
5,90,10
5,94,14
5,98,11
5,99,19
5,101,45
5,102,28
5,103,9
5,104,20
6,56,18
6,58,9
6,64,19
6,68,9
6,72,10
6,103,11
7,9,14
7,13,12
7,14,11
7,19,12
7,29,12
7,32,9
7,37,36
7,40,26
7,46,9
7,62,21
7,66,30
7,67,24
7,72,10
7,82,16
7,84,14
7,99,10
7,101,30
7,102,15
7,104,14
8,23,22
8,49,15
8,103,9
9,12,11
9,13,12
9,15,23
9,18,9
9,28,16
9,29,30
9,35,19
9,37,18
9,39,11
9,41,11
9,45,9
9,46,10
9,55,12
9,56,19
9,61,18
9,62,17
9,67,18
9,71,15
9,72,9
9,75,16
9,76,22
9,77,18
9,82,17
9,88,14
9,91,26
9,94,10
9,99,17
9,101,23
9,102,16
10,96,12
11,67,12
11,69,19
11,71,18
11,72,9
11,93,10
11,104,15
12,18,9
12,41,11
12,49,11
12,55,15
12,56,9
12,61,26
12,76,11
12,103,10
13,19,12
13,37,13
13,56,12
13,66,10
13,88,9
13,91,9
13,99,27
13,101,9
13,102,9
14,19,13
14,62,9
14,66,10
14,72,10
14,91,10
14,101,15
14,102,16
14,104,11
15,18,13
15,19,10
15,28,11
15,37,12
15,41,21
15,45,10
15,53,9
15,56,16
15,61,10
15,62,10
15,67,9
15,71,11
15,88,9
15,91,15
15,94,12
15,99,13
15,101,9
15,104,9
16,54,24
16,81,12
17,103,12
18,19,10
18,37,10
18,41,16
18,55,37
18,56,21
18,77,12
18,88,23
18,91,9
18,101,19
18,102,10
19,29,10
19,32,9
19,36,14
19,37,10
19,38,11
19,39,9
19,42,10
19,53,9
19,55,10
19,66,13
19,72,9
19,75,9
19,77,12
19,81,19
19,84,10
19,88,15
19,94,11
19,101,10
19,102,12
21,23,11
21,25,38
21,32,12
21,39,13
21,42,23
21,45,19
21,49,14
21,56,28
21,61,15
21,72,17
21,81,31
21,95,11
21,96,21
21,100,13
22,37,10
22,45,9
22,46,11
22,56,17
22,67,11
22,90,12
22,101,10
22,104,11
23,25,16
23,49,11
23,74,14
23,81,23
23,103,10
24,26,11
24,30,9
24,34,9
24,42,14
24,78,41
24,94,9
24,104,12
25,36,9
25,42,14
