"id","name","state","party"
1,"Lamar Alexander","TN","R"
2,"Tammy Baldwin","WI","D"
3,"John Barrasso","WY","R"
4,"Michael Bennet","CO","D"
5,"Richard Blumenthal","CT","D"
6,"Roy Blunt","MO","R"
7,"Cory Booker","NJ","D"
8,"John Boozman","AR","R"
9,"Sherrod Brown","OH","D"
10,"Richard Burr","NC","R"
11,"Maria Cantwell","WA","D"
12,"Shelley Capito","WV","R"
13,"Benjamin Cardin","MD","D"
14,"Thomas Carper","DE","D"
15,"Bob Casey","PA","D"
16,"Bill Cassidy","LA","R"
17,"Thad Cochran","MS","R"
18,"Susan Collins","ME","R"
19,"Christopher Coons","DE","D"
20,"Bob Corker","TN","R"
21,"John Cornyn","TX","R"
22,"Catherine Cortez masto","NV","D"
23,"Tom Cotton","AR","R"
24,"Michael Crapo","ID","R"
25,"Ted Cruz","TX","R"
26,"Steve Daines","MT","R"
27,"Joe Donnelly","IN","D"
28,"Tammy Duckworth","IL","D"
29,"Richard Durbin","IL","D"
30,"Michael Enzi","WY","R"
31,"Joni Ernst","IA","R"
32,"Dianne Feinstein","CA","D"
33,"Deb Fischer","NE","R"
34,"Jeff Flake","AZ","R"
35,"Al Franken","MN","D"
36,"Cory Gardner","CO","R"
37,"Kirsten Gillibrand","NY","D"
38,"Lindsey Graham","SC","R"
39,"Charles Grassley","IA","R"
40,"Kamala Harris","CA","D"
41,"Margaret Hassan","NH","D"
42,"Orrin Hatch","UT","R"
43,"Martin Heinrich","NM","D"
44,"Heidi Heitkamp","ND","D"
45,"Dean Heller","NV","R"
46,"Mazie Hirono","HI","D"
47,"John Hoeven","ND","R"
48,"Cindy Hyde-smith","MS","R"
49,"Jim Inhofe","OK","R"
50,"Johnny Isakson","GA","R"
51,"Ron Johnson","WI","R"
52,"Doug Jones","AL","D"
53,"Timothy Kaine","VA","D"
54,"John Kennedy","LA","R"
55,"Angus King","ME","I"
56,"Amy Klobuchar","MN","D"
57,"Jon Kyl","AZ","R"
58,"James Lankford","OK","R"
59,"Patrick Leahy","VT","D"
60,"Mike Lee","UT","R"
61,"Joe Manchin","WV","D"
62,"Edward Markey","MA","D"
63,"John Mccain","AZ","R"
64,"Claire Mccaskill","MO","D"
65,"Mitch Mcconnell","KY","R"
66,"Robert Menendez","NJ","D"
67,"Jeff Merkley","OR","D"
68,"Jerry Moran","KS","R"
69,"Lisa Murkowski","AK","R"
70,"Christopher Murphy","CT","D"
71,"Patty Murray","WA","D"
72,"Clarence Nelson","FL","D"
73,"Rand Paul","KY","R"
74,"David Perdue","GA","R"
75,"Gary Peters","MI","D"
76,"Rob Portman","OH","R"
77,"John Reed","RI","D"
78,"James Risch","ID","R"
79,"Pat Roberts","KS","R"
80,"Mike Rounds","SD","R"
81,"Marco Rubio","FL","R"
82,"Bernard Sanders","VT","I"
83,"Ben Sasse","NE","R"
84,"Brian Schatz","HI","D"
85,"Charles Schumer","NY","D"
86,"Tim Scott","SC","R"
87,"Jeff Sessions","AL","R"
88,"Jeanne Shaheen","NH","D"
89,"Richard Shelby","AL","R"
90,"Tina Smith","MN","D"
91,"Deborah Stabenow","MI","D"
92,"Luther Strange","AL","R"
93,"Dan Sullivan","AK","R"
94,"Jon Tester","MT","D"
95,"John Thune","SD","R"
96,"Thomas Tillis","NC","R"
97,"Pat Toomey","PA","R"
98,"Tom Udall","NM","D"
99,"Chris Van hollen","MD","D"
100,"Mark Warner","VA","D"
101,"Elizabeth Warren","MA","D"
102,"Sheldon Whitehouse","RI","D"
103,"Roger Wicker","MS","R"
104,"Ron Wyden","OR","D"
105,"Todd Young","IN","R"
